================ Training Loss (Tue Nov 17 03:34:35 2020) ================
(epoch: 8, iters: 200, time: 0.339, data: 0.001) D_A: 0.197 G_A: 0.127 cycle_A: 2.086 idt_A: 0.969 D_B: 0.434 G_B: 0.451 cycle_B: 1.603 idt_B: 1.056 
(epoch: 8, iters: 300, time: 0.340, data: 0.001) D_A: 0.216 G_A: 0.478 cycle_A: 2.515 idt_A: 0.982 D_B: 0.138 G_B: 0.174 cycle_B: 2.140 idt_B: 1.184 
(epoch: 8, iters: 400, time: 0.743, data: 0.002) D_A: 0.208 G_A: 0.601 cycle_A: 2.380 idt_A: 0.534 D_B: 0.056 G_B: 0.967 cycle_B: 1.542 idt_B: 1.030 
(epoch: 9, iters: 100, time: 0.339, data: 0.172) D_A: 0.216 G_A: 0.338 cycle_A: 2.054 idt_A: 1.338 D_B: 0.171 G_B: 1.080 cycle_B: 3.684 idt_B: 0.824 
(epoch: 9, iters: 200, time: 0.339, data: 0.001) D_A: 0.140 G_A: 0.341 cycle_A: 1.997 idt_A: 1.403 D_B: 0.204 G_B: 0.309 cycle_B: 3.233 idt_B: 0.922 
(epoch: 9, iters: 300, time: 0.340, data: 0.002) D_A: 0.375 G_A: 0.804 cycle_A: 1.961 idt_A: 0.860 D_B: 0.027 G_B: 0.265 cycle_B: 2.083 idt_B: 0.993 
(epoch: 9, iters: 400, time: 0.737, data: 0.002) D_A: 0.203 G_A: 0.556 cycle_A: 1.696 idt_A: 0.694 D_B: 0.201 G_B: 0.238 cycle_B: 1.897 idt_B: 0.751 
(epoch: 10, iters: 100, time: 0.340, data: 0.135) D_A: 0.213 G_A: 0.282 cycle_A: 2.047 idt_A: 0.843 D_B: 0.163 G_B: 0.116 cycle_B: 2.129 idt_B: 1.139 
(epoch: 10, iters: 200, time: 0.339, data: 0.001) D_A: 0.107 G_A: 0.688 cycle_A: 1.535 idt_A: 1.390 D_B: 0.140 G_B: 0.975 cycle_B: 2.573 idt_B: 0.688 
(epoch: 10, iters: 300, time: 0.339, data: 0.002) D_A: 0.036 G_A: 1.113 cycle_A: 2.626 idt_A: 2.627 D_B: 0.189 G_B: 0.557 cycle_B: 5.258 idt_B: 1.218 
(epoch: 10, iters: 400, time: 0.761, data: 0.002) D_A: 0.045 G_A: 0.248 cycle_A: 3.695 idt_A: 1.480 D_B: 0.170 G_B: 0.298 cycle_B: 3.415 idt_B: 1.950 
(epoch: 11, iters: 100, time: 0.339, data: 0.131) D_A: 0.250 G_A: 0.312 cycle_A: 2.635 idt_A: 1.378 D_B: 0.279 G_B: 0.763 cycle_B: 2.690 idt_B: 1.113 
(epoch: 11, iters: 200, time: 0.340, data: 0.001) D_A: 0.154 G_A: 0.521 cycle_A: 2.574 idt_A: 1.108 D_B: 0.232 G_B: 1.048 cycle_B: 2.774 idt_B: 1.169 
(epoch: 11, iters: 300, time: 0.339, data: 0.002) D_A: 0.242 G_A: 0.269 cycle_A: 1.369 idt_A: 0.715 D_B: 0.146 G_B: 0.575 cycle_B: 1.328 idt_B: 0.725 
(epoch: 11, iters: 400, time: 0.765, data: 0.002) D_A: 0.250 G_A: 0.158 cycle_A: 3.105 idt_A: 0.810 D_B: 0.185 G_B: 0.255 cycle_B: 1.717 idt_B: 1.539 
(epoch: 12, iters: 100, time: 0.340, data: 0.144) D_A: 0.190 G_A: 0.352 cycle_A: 2.723 idt_A: 0.973 D_B: 0.108 G_B: 0.901 cycle_B: 2.065 idt_B: 1.175 
(epoch: 12, iters: 200, time: 0.340, data: 0.001) D_A: 0.136 G_A: 0.535 cycle_A: 2.082 idt_A: 1.073 D_B: 0.205 G_B: 0.538 cycle_B: 1.694 idt_B: 1.113 
(epoch: 12, iters: 300, time: 0.340, data: 0.002) D_A: 0.191 G_A: 0.364 cycle_A: 2.127 idt_A: 0.799 D_B: 0.088 G_B: 0.195 cycle_B: 1.789 idt_B: 0.972 
